Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,180
2668,0
3002,0
3335,0
3668,0
4002,0
4336,180
4670,0
5004,0
5337,0
5670,0
6004,0
6338,360
6672,0
7006,0
7339,0
7672,0
8006,0
8340,0
8674,0
9008,0
9340,0
9674,0
10008,0
10342,0
10676,0
11010,0
11342,0
11676,0
12010,0
12344,0
12678,0
13011,0
13345,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,0
15681,0
16015,0
16348,360
16681,2340
17015,2700
17349,2340
17683,2340
18017,2520
18351,2520
18684,3060
19018,2340
19352,2700
19686,2700
20020,2520
20354,2520
20687,2340
21021,2520
21355,2340
21689,2520
22023,2700
22356,0
22690,3060
23024,2340
23358,2700
23692,2700
24026,2520
24359,2880
24693,2340
25027,3060
25361,2700
25695,2520
26029,2880
26362,2340
26696,3060
27030,2700
27364,2340
27698,2700
28032,0
28365,2520
28699,2700
29033,2340
29367,2880
29701,2340
30034,2700
30368,2340
30702,2520
31036,2700
31370,2340
31704,3060
32037,2340
32371,2700
32705,2700
33039,2340
33373,2880
33707,2340
34040,0
34374,2700
34708,2340
35042,2880
35376,2340
35709,2340
36043,2880
36377,3600
36711,4320
37045,4320
37379,4320
37712,4140
38046,4140
38380,3960
38714,0
39048,4140
39382,4140
39715,4140
40049,4140
40383,3960
40717,4140
41051,3960
41384,4140
41718,3960
42052,3960
42386,0
42720,3960
43054,4140
43387,4140
43721,4140
44055,3960
44389,3960
44723,3960
45057,3780
45390,4140
45724,4320
46058,3960
46392,0
46726,4140
47059,3960
47393,4140
47727,4320
48061,4320
48395,3780
48729,4140
49062,4140
49396,3960
49730,3960
50064,0
50398,4140
50732,3960
51065,3960
51399,4140
51733,3960
52067,4140
52401,3780
52734,3780
53068,3780
53402,3780
53736,0
54070,3780
54404,3960
54737,4140
55071,3780
55405,3600
55739,3780
56073,3780
56407,5040
56740,5040
57074,5040
57408,0
57742,5400
58076,5040
58409,5400
58743,5400
59077,5400
59411,5220
59745,5220
60079,5400
60412,0
60746,5220
61080,5220
61414,5220
61748,5040
62082,5040
62415,5220
62749,5220
63083,5400
63417,0
63751,5040
64084,5220
64418,5400
64752,4860
65086,5040
65420,5220
65754,5040
66087,5220
66421,0
66755,4860
67089,5400
67423,5040
67757,4860
68090,5220
68424,5220
68758,4860
69092,4860
69426,0
69760,3600
70093,2160
70427,900
70761,1260
71095,180
71429,0
71761,0
72095,0
72429,0
72763,0
73097,0
73431,0
73764,0
74098,0
74431,0
74765,0
75099,0
75432,0
75766,0
