Time,RPM
(ms),-
332,0
666,0
1000,0
1333,0
1667,0
2000,0
2334,0
2668,0
3002,0
3335,0
3668,0
4002,0
4336,0
4670,0
5003,0
5337,0
5670,0
6004,180
6338,0
6672,0
7005,0
7339,0
7672,0
8006,0
8340,0
8674,0
9007,0
9340,0
9674,0
10008,0
10342,0
10676,0
11009,0
11342,0
11676,0
12010,0
12344,0
12678,0
13011,0
13344,0
13678,0
14012,0
14346,0
14680,0
15013,0
15347,0
15680,0
16014,180
16348,9000
16681,12780
17015,12600
17349,0
17683,12600
18017,12600
18351,12780
18684,0
19018,12960
19352,12420
19686,12420
20020,0
20354,12420
20687,12420
21021,0
21355,12420
21689,12600
22023,12420
22356,0
22690,12420
23024,12420
23358,12780
23692,0
24026,12420
24359,12600
24693,0
25027,12420
25361,12600
25695,12420
26029,0
26362,10260
26696,10440
27030,10260
27364,10260
27699,0
28032,10260
28365,10440
28700,10620
29034,0
29367,10260
29701,10440
30035,10440
30369,0
30702,10260
31037,10440
31371,10440
31705,10260
32038,0
32372,10260
32706,10440
33040,10260
33374,0
33708,10260
34041,10260
34375,10260
34709,10260
35043,0
35377,10620
35710,10260
36044,9000
36378,8100
36712,0
37046,8280
37380,7920
37713,8280
38047,8280
38381,0
38714,8280
39048,7920
39382,7920
39715,8100
40049,8100
40383,0
40717,8100
41051,8280
41384,8100
41718,8280
42052,8100
42386,0
42720,8100
43054,7920
43387,7920
43721,8100
44055,0
44389,8280
44723,8280
45057,8280
45390,8280
45724,8100
46058,0
46392,6120
46726,5940
47059,6300
47393,6120
47727,5940
48061,6480
48395,0
48729,6300
49062,5940
49396,5940
49730,6120
50064,5940
50398,6300
50732,6120
51065,0
51399,5940
51733,6480
52067,5940
52401,6120
52734,6120
53068,6120
53402,0
53736,6300
54070,5940
54404,6120
54737,5940
55071,6120
55405,5940
55739,6480
56073,0
56407,3960
56740,3960
57074,3960
57408,3780
57742,3960
58076,3780
58409,3780
58743,3780
59077,3960
59411,4140
59745,3780
60079,0
60412,3960
60746,3960
61080,3960
61414,3960
61748,3960
62082,3960
62415,3780
62749,3960
63083,3960
63417,3780
63751,4140
64084,0
64417,3780
64751,3960
65085,3780
65419,3960
65753,4140
66086,1440
66420,0
66754,0
67088,0
67422,0
67756,0
68089,0
68423,0
68757,0
69090,0
69424,0
69757,0
70091,0
70425,0
70759,0
71093,0
71426,0
71759,0
72093,0
72427,0
72761,0
73095,0
73428,0
73761,0
74095,0
74429,0
74763,0
75097,0
75430,0
75764,0
76098,0
76431,0
76765,0
77099,0
77432,0
77766,0
78100,0
78434,0
78767,0
79100,0
79434,0
79768,0
80102,0
80436,0
80770,0
81102,0
81436,0
81770,0
82104,0
82438,0
