Time,RPM
(s),-
10.249,0
10.5,0
10.749,0
11.0,0
11.25,0
11.501,0
11.751,0
12.002,0
12.252,0
12.503,0
12.752,0
13.003,0
13.253,0
13.504,0
13.754,0
14.005,0
14.255,0
14.505,0
14.755,0
15.006,0
15.256,0
15.507,0
15.757,0
16.008,0
16.258,0
16.508,0
16.758,0
17.008,0
17.259,960
17.51,2960
17.76,3040
18.011,3040
18.262,3040
18.511,3040
18.762,3040
19.013,0
19.263,3120
19.514,3040
19.764,3040
20.015,3040
20.265,3040
20.515,3040
20.766,0
21.016,3200
21.267,3040
21.518,3040
21.768,3040
22.019,3120
22.269,0
22.519,3040
22.77,3040
23.021,3040
23.271,3040
23.522,3040
23.773,3040
24.023,0
24.273,3120
24.523,3040
24.774,3040
25.025,3040
25.275,3120
25.526,3040
25.777,0
26.027,3040
26.277,3040
26.527,3040
26.778,3040
27.029,3600
27.279,0
27.53,5440
27.781,5440
28.03,5440
28.281,0
28.531,5440
28.782,5440
29.033,0
29.283,5360
29.534,5440
29.784,5360
30.034,0
30.285,5440
30.535,5440
30.786,5360
31.037,0
31.287,5440
31.538,5440
31.788,5440
32.038,0
32.289,5360
32.539,5440
32.79,5360
33.041,0
33.291,5440
33.542,5360
33.792,0
34.042,5360
34.293,5360
34.543,5440
34.794,0
35.044,5520
35.295,5360
35.546,5360
35.795,0
36.046,5360
36.297,5360
36.547,5440
36.798,0
37.048,5840
37.299,7200
37.55,0
37.799,7200
38.05,7200
38.301,0
38.551,7200
38.802,7200
39.052,0
39.303,7200
39.554,0
39.803,7200
40.054,7200
40.304,0
40.555,7200
40.805,7200
41.056,0
41.307,7280
41.556,7200
41.807,0
42.057,7200
42.308,7200
42.559,0
42.809,7200
43.06,7200
43.311,0
43.56,7200
43.811,0
44.061,7200
44.312,7120
44.563,0
44.813,7120
45.064,7120
45.314,0
45.564,7200
45.815,7200
46.065,0
46.316,7200
46.566,7200
46.817,0
47.068,7759
47.318,0
47.568,9360
47.818,0
48.069,9360
48.32,9360
48.57,0
48.821,9280
49.071,0
49.321,9280
49.572,0
49.822,9360
50.073,0
50.323,9280
50.574,0
50.825,9360
51.075,9280
51.325,0
51.575,9440
51.826,0
52.077,9280
52.327,0
52.578,9360
52.828,0
53.079,9360
53.329,0
53.579,9360
53.83,9280
54.08,0
54.331,9280
54.582,0
54.832,9200
55.083,0
55.332,9280
55.583,0
55.833,9280
56.084,0
56.335,9280
56.585,9280
56.836,0
57.085,10000
57.336,0
57.587,11280
57.837,0
58.088,0
58.338,11200
58.589,0
58.84,11200
59.089,0
59.34,11200
59.591,0
59.841,11200
60.092,0
60.342,0
60.593,11200
60.844,0
61.093,11280
61.344,0
61.594,11200
61.845,0
62.096,11120
62.346,0
62.597,11200
62.846,0
63.097,0
63.348,11200
63.598,0
63.849,11200
64.099,0
64.35,11120
64.601,0
64.85,11120
65.101,0
65.351,11120
65.602,0
65.853,0
66.103,11200
66.354,0
66.604,11120
66.854,0
67.105,10480
67.355,0
67.606,9280
67.856,0
68.107,9200
68.358,9200
68.608,0
68.858,9120
69.108,0
69.359,9200
69.61,0
69.86,9120
70.111,0
70.361,9120
70.611,0
70.862,9200
71.112,9200
71.363,0
71.613,9120
71.864,0
72.115,9200
72.365,0
72.615,9200
72.865,0
73.116,9200
73.367,9120
73.617,0
73.868,9200
74.118,0
74.369,9120
74.619,0
74.869,9200
75.12,0
75.37,9120
75.621,9120
75.872,0
76.122,9200
76.372,0
76.622,9120
76.873,0
77.123,8320
77.374,7040
77.625,0
77.875,7040
78.126,0
78.375,7040
78.626,7120
78.877,0
79.127,7120
79.378,7120
79.629,0
79.879,7120
80.13,7040
80.379,0
80.63,7040
80.881,7040
81.131,0
81.382,7040
81.632,7200
81.883,0
82.134,7120
82.383,7040
82.634,0
82.884,7120
83.135,7040
83.386,0
83.636,7120
83.887,0
84.136,7040
84.387,7120
84.638,0
84.888,7120
85.139,7120
85.39,0
85.64,7040
85.891,7120
86.14,0
86.391,7120
86.642,7120
86.892,0
87.143,6320
87.393,5360
87.644,0
87.895,5280
88.144,5440
88.395,5360
88.646,0
88.896,5280
89.147,5440
89.397,5280
89.648,0
89.899,5440
90.148,5280
90.399,5360
90.65,0
90.9,5280
91.151,5360
91.401,5280
91.652,0
91.902,5360
92.152,5280
92.403,5280
92.653,0
92.904,5280
93.155,5360
93.405,0
93.656,5280
93.905,5360
94.156,5440
94.407,0
94.657,5360
94.908,5360
95.159,5280
95.409,0
95.66,5360
95.909,5280
96.16,5440
96.411,0
96.661,5360
96.912,5280
97.163,4400
97.413,0
97.664,2960
97.913,3040
98.164,3040
98.415,3040
98.665,3040
98.916,3040
99.167,0
99.417,3040
99.667,3040
99.917,2960
100.168,3040
100.419,3040
100.67,3040
100.92,0
101.171,3040
101.421,3120
101.671,3040
101.922,3040
102.173,3040
102.423,0
102.674,3040
102.925,3040
103.175,2960
103.426,2960
103.676,3040
103.926,3040
104.177,0
104.428,3040
104.678,2960
104.929,2960
105.18,3120
105.43,3040
105.68,2960
105.931,0
106.181,3040
106.432,2960
106.683,3040
106.933,3040
107.184,1440
107.435,0
107.684,0
107.935,0
108.185,0
108.436,0
108.686,0
108.937,0
109.187,0
109.437,0
109.687,0
109.938,0
110.189,0
110.439,0
110.69,0
110.94,0
111.191,0
111.44,0
111.691,0
111.941,0
